name,url,tree,brand,size,price,promotion,
TANGELO 4S,https://coldstorage.com.sg/tangelo-4s-093003,fruits-vegetables/fresh-fruits/oranges-citrus-fruits,,PUN,$6.90,12% off
Zespri Sun Gold Kiwifruit 4s,https://coldstorage.com.sg/zespri-kiwifruit-gold-new-zealand-077995,fruits-vegetables/fresh-fruits/stone-fruits,,4S,$5.90,14% off
Kiwi Green New Zealand,https://coldstorage.com.sg/zespri-kiwifruit-green-085972,fruits-vegetables/fresh-fruits/stone-fruits,ZESPRI,4 a pack,$4.90,16% off
Plum Red Punnet USA,https://coldstorage.com.sg/plum-red-500g-138959,fruits-vegetables/fresh-fruits/stone-fruits,,500G,$5.90,21% off
Plum Black Punnet,https://coldstorage.com.sg/plum-black-500g-071617,fruits-vegetables/fresh-fruits/stone-fruits,,500G,$5.90,21% off
Kiwi Green With Cooler Bag (8 Pieces),https://coldstorage.com.sg/kiwi-green-w-cooler-bag-170842,fruits-vegetables/fresh-fruits/stone-fruits,ZESPRI,1PUN,$8.45,14% off
Black Plum 500g,https://coldstorage.com.sg/plum-black-angelno-500g-019500,fruits-vegetables/fresh-fruits/stone-fruits,,500G,$5.90,
Nectarine Yellow Punnet USA,https://coldstorage.com.sg/nectarine-yellow-500g-077481,fruits-vegetables/fresh-fruits/stone-fruits,,500G,$8.90,
Watermelon Red Whole Malaysia,https://coldstorage.com.sg/watermelon-red-4-4-5-my-098384,fruits-vegetables/fresh-fruits/melons,,1EA,$7.30,
Mini Watermelon ,https://coldstorage.com.sg/mini-watermelon-119941,fruits-vegetables/fresh-fruits/melons,,1EA,$3.90,
Winter Melon China,https://coldstorage.com.sg/winter-melon-china-077305,fruits-vegetables/fresh-fruits/melons,,KG,$5.00,
Yellow Melon 2s,https://coldstorage.com.sg/melon-oriental-korea-2s-028965,fruits-vegetables/fresh-fruits/melons,,2S,$12.90,
Banana Cavendish Aloha Philippines,https://coldstorage.com.sg/banana-cavendish-philippines-073588,fruits-vegetables/fresh-fruits/tropical-fruits,,KG,$2.40 / 1000g     ,
Mango Honey Thai,https://coldstorage.com.sg/mango-honey-thai-20-22c-149304,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$2.90,
COCONUT TOP-OFF,https://coldstorage.com.sg/coconut-top-off-thailand-medium-090770,fruits-vegetables/fresh-fruits/tropical-fruits,,200g,$4.50,
Golden Honey Pineapple Indonesia,https://coldstorage.com.sg/pineapple-indonesia-7c-149289,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$3.90,20% off
Papaya Solo Medium Philippines,https://coldstorage.com.sg/papaya-gracio-phil-8-9c-102032,fruits-vegetables/fresh-fruits/tropical-fruits,,EA,$3.90,
Longan Thai Punnet,https://coldstorage.com.sg/longan-thai-punnet-cs-010456,fruits-vegetables/fresh-fruits/tropical-fruits,,1KG,$7.95,
Papaya Hong Kong,https://coldstorage.com.sg/papaya-007931,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$4.00,
Jackfruit Peeled Prepacked,https://coldstorage.com.sg/jackfruit-peeled-ppk-131130,fruits-vegetables/fresh-fruits/tropical-fruits,,400G,$5.45,
Passion Fruit Punnet Malaysia,https://coldstorage.com.sg/passion-fruit-malaysia-074904,fruits-vegetables/fresh-fruits/tropical-fruits,,3 a pack,$3.10,
MANGO CALYPSO,https://coldstorage.com.sg/mango-calypso-20-22c-166091,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$6.90,Buy 2 @ $11.95
Little Petey Banana 415g,https://coldstorage.com.sg/banana-little-petey-kids-092356,fruits-vegetables/fresh-fruits/tropical-fruits,,1PKT,$2.50,
Pomegranate 1s,https://coldstorage.com.sg/pomegranate-pom-usa-30c-079403,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$2.95,
Coconut Young 1s,https://coldstorage.com.sg/coconut-young-thai-076371,fruits-vegetables/fresh-fruits/tropical-fruits,,EA,$2.50,
COCONUT YOUNG THAI,https://coldstorage.com.sg/coconut-young-thai-171038,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$2.50,
Avocado Large ,https://coldstorage.com.sg/avocado-24c-011241,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,150g,$3.45,Buy 3 @ $7.90
Fresh Figs Israel,https://coldstorage.com.sg/figs-fresh-israel-160g-080126,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,160G,$5.90,Buy 2 @ $9.90
USA Medjool Dates 250g,https://coldstorage.com.sg/medjool-dates-usa-072234,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,330G,$9.90,
Pomegranate,https://coldstorage.com.sg/pomegranate-8c-155870,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,1EA,$4.90,
Persimmon Kaki,https://coldstorage.com.sg/persimmon-kaki-091061,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,1EA,$3.50,Buy 3 @ $9.90
MANGOSTEENS THAILAND,https://coldstorage.com.sg/mangosteens-thailand-169302,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,G,1PKT,$5.50,
Iran Piarum Dates 250g,https://coldstorage.com.sg/mariami-dates-250g-iran-005674,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,1PKT,$6.90,
Persimmon Korea,https://coldstorage.com.sg/persimmon-korea-l-172096,fruits-vegetables/fresh-fruits/exotic-seasonal-fruits,,1EA,$1.20,Buy 5 @ $4.95
Sio Pek Chye Malaysia,https://coldstorage.com.sg/sio-pek-chye-malaysia-071065,fruits-vegetables/fresh-vegetables/leafy-vegetables,,220g,$2.25,
Spinach (Phuay Leng) China,https://coldstorage.com.sg/spinach-china-phuay-leng-077161,fruits-vegetables/fresh-vegetables/leafy-vegetables,,250g,$1.60,
Kale Toscano,https://coldstorage.com.sg/kale-toscano-166497,fruits-vegetables/fresh-vegetables/leafy-vegetables,,150G,$7.00,
Kinky Kale,https://coldstorage.com.sg/kale-kinky-166494,fruits-vegetables/fresh-vegetables/leafy-vegetables,,150G,$7.00,
MINI KAI LAN THAI,https://coldstorage.com.sg/kai-lan-mini-thailand-071053,fruits-vegetables/fresh-vegetables/leafy-vegetables,,200g,$2.50,
Chye Sim China,https://coldstorage.com.sg/chye-sim-china-pkt-077155,fruits-vegetables/fresh-vegetables/leafy-vegetables,,300g,$2.50,
Celery Chinese Malaysia,https://coldstorage.com.sg/celery-chinese-malaysia-054082,fruits-vegetables/fresh-vegetables/leafy-vegetables,,100g,$1.65,
Kai Lan China,https://coldstorage.com.sg/kai-lan-china-pkt-077157,fruits-vegetables/fresh-vegetables/leafy-vegetables,,300g,$1.90,
Nai Bai Baby +/-300g,https://coldstorage.com.sg/nai-bai-baby-china-077174,fruits-vegetables/fresh-vegetables/leafy-vegetables,-,300g,$3.45,
Parsley Chinese 50g,https://coldstorage.com.sg/parsley-chinese-50g-127256,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50G,$1.50,
Leek Australia,https://coldstorage.com.sg/leek-australia-017511,fruits-vegetables/fresh-vegetables/leafy-vegetables,,KG,$5.07 / 300g     ,
Parsley English Malaysia,https://coldstorage.com.sg/parsley-english-50g-054107,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50g,$2.45,
Watercress Bunched Indonesia,https://coldstorage.com.sg/watercress-bunched-indonesia-071885,fruits-vegetables/fresh-vegetables/leafy-vegetables,-,200g,$1.45,
Shanghai Green China,https://coldstorage.com.sg/shanghai-green-china-077165,fruits-vegetables/fresh-vegetables/leafy-vegetables,,250g,$3.45,
Watercress +/-200g,https://coldstorage.com.sg/watercress-bunched-indo-016837,fruits-vegetables/fresh-vegetables/leafy-vegetables,,200G,$1.50,
Leaf Lime Malaysia,https://coldstorage.com.sg/leaf-lime-50g-055569,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50g,$1.95,
Pandan Leaf,https://coldstorage.com.sg/pandan-leaf-50g-127239,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50G,$1.45,
Spinach Bayam,https://coldstorage.com.sg/spinach-bayam-220g-127283,fruits-vegetables/fresh-vegetables/leafy-vegetables,,220G,$2.25,
Curry Leaves Malaysia,https://coldstorage.com.sg/curry-leaves-054122,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50g,$1.65,
Laksa Leaves Malaysia,https://coldstorage.com.sg/laksa-leaves-054124,fruits-vegetables/fresh-vegetables/leafy-vegetables,,50g,$1.65,
Wa Wa Chye Wombok Heart,https://coldstorage.com.sg/wa-wa-chye-wombok-heart-091680,fruits-vegetables/fresh-vegetables/leafy-vegetables,,3S,$2.45,
Kai Lan Stem,https://coldstorage.com.sg/kai-lan-stem-china-007018,fruits-vegetables/fresh-vegetables/leafy-vegetables,,KG,$3.30,
Mizuna +/-100g,https://coldstorage.com.sg/veggie-life-mizuna-100g-149486,fruits-vegetables/fresh-vegetables/leafy-vegetables,,1PKT,$4.70,
Mushroom White Button Holland,https://coldstorage.com.sg/mushroom-button-white-138504,fruits-vegetables/fresh-vegetables/mushrooms,,200G,$4.00,
Mushroom Brown Button Holland,https://coldstorage.com.sg/mushroom-button-brown-138506,fruits-vegetables/fresh-vegetables/mushrooms,,200G,$4.00,
Mushroom Bunashimeji 100g,https://coldstorage.com.sg/bunashimeji-100g-020734,fruits-vegetables/fresh-vegetables/mushrooms,,100G,$1.70,Buy 2 @ $2.45
Mushroom King Oyster Korea,https://coldstorage.com.sg/mushroom-king-oyster-158996,fruits-vegetables/fresh-vegetables/mushrooms,,400G,$3.90,13% off
Mushroom Portobello Baby Malaysia,https://coldstorage.com.sg/mushroom-portobello-baby-079023,fruits-vegetables/fresh-vegetables/mushrooms,,200g,$6.45,
Sliced Mushroom - White Button 125g,https://coldstorage.com.sg/mushroom-button-sliced-malaysia-078298,fruits-vegetables/fresh-vegetables/mushrooms,,125g,$4.95,
Enoki Mushroom +/-200g,https://coldstorage.com.sg/mushroom-enoki-taiwan-172005,fruits-vegetables/fresh-vegetables/mushrooms,-,200g,$2.00,
Mushroom 2 In 1 Mix Malaysia,https://coldstorage.com.sg/mushroom-2-in-1-mix-msia-078302,fruits-vegetables/fresh-vegetables/mushrooms,,250g,$6.95,
Mushroom Button Brown Malaysia,https://coldstorage.com.sg/mushroom-button-brown-078300,fruits-vegetables/fresh-vegetables/mushrooms,,200g,$4.00,
Mushroom Bunapi Shimeji 100g,https://coldstorage.com.sg/white-shimeji-hokuto-077439,fruits-vegetables/fresh-vegetables/mushrooms,,100g,$1.70,Buy 2 @ $2.45
Mushroom White Button Malaysia,https://coldstorage.com.sg/mushroom-white-button-078299,fruits-vegetables/fresh-vegetables/mushrooms,,200g,$4.00,
Baby Shiitake Mushrooms 150g,https://coldstorage.com.sg/mushroom-baby-shitake-ms-109484,fruits-vegetables/fresh-vegetables/mushrooms,,1PKT,$2.95,
Enoki Mushroom 100G,https://coldstorage.com.sg/enoki-jap-variety-100g-077312,fruits-vegetables/fresh-vegetables/mushrooms,,100G,$1.45,
Mushroom Grey Oyster Taiwan,https://coldstorage.com.sg/mushroom-grey-oyster-taiwan-071336,fruits-vegetables/fresh-vegetables/mushrooms,,150g,$4.85,
Mushroom Shitake China,https://coldstorage.com.sg/mushroom-shitake-137617,fruits-vegetables/fresh-vegetables/mushrooms,,200G,$3.99,
Mushroom - Enoki Brown 200g,https://coldstorage.com.sg/enoki-brown-korea-200g-071171,fruits-vegetables/fresh-vegetables/mushrooms,GREENPEACE,200G,$2.95,
Black Fungus 200g,https://coldstorage.com.sg/black-fungus-156390,fruits-vegetables/fresh-vegetables/mushrooms,Jong Fresh,200G,$4.80,
Dried Small Mushroom 200g,https://coldstorage.com.sg/dried-small-mushroom-156388,fruits-vegetables/fresh-vegetables/mushrooms,Jong Fresh,200G,$8.50,
Shiitake Ball 200g,https://coldstorage.com.sg/shitake-ball-085714,fruits-vegetables/fresh-vegetables/mushrooms,PENG WANG,200G,$2.85,
Black Fungus Small 70g,https://coldstorage.com.sg/black-fungus-108807,fruits-vegetables/fresh-vegetables/mushrooms,PAGODA,70G,$3.20,
Premium Mushroom 150g,https://coldstorage.com.sg/premium-mushroom-108806,fruits-vegetables/fresh-vegetables/mushrooms,PAGODA,150G,$8.30,
White Fungus 80g,https://coldstorage.com.sg/white-fungus-108800,fruits-vegetables/fresh-vegetables/mushrooms,PAGODA,80G,$2.35,
Potato Russet Large USA,https://coldstorage.com.sg/potato-russet-large-usa-118319,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,70C,$0.95,
Onion Red Bombay Malaysia,https://coldstorage.com.sg/onion-red-bombay-074984,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,FIRST CHOICE,700g,$2.50,
Sweet Potato Japan,https://coldstorage.com.sg/sweet-potato-japan-078346,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,500g,$4.90,
Large Onion Peeled,https://coldstorage.com.sg/onion-large-peeled-malaysia-178021,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,400g,$2.95,
